item,current_path,decision,target_owner,dependencies,tests,docs,notes
render_horizontal_scrollbar,crates/jackin-tui/src/components/scrollable_panel.rs:239,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_horizontal_scrollbar(
render_vertical_scrollbar,crates/jackin-tui/src/components/scrollable_panel.rs:263,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_vertical_scrollbar(
render_vertical_scrollbar_with_style,crates/jackin-tui/src/components/scrollable_panel.rs:278,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_vertical_scrollbar_with_style(
render_vertical_scrollbar_in_area,crates/jackin-tui/src/components/scrollable_panel.rs:300,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_vertical_scrollbar_in_area(
render_vertical_scrollbar_in_area_with_style,crates/jackin-tui/src/components/scrollable_panel.rs:317,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_vertical_scrollbar_in_area_with_style(
render_selected_lines_in_area,crates/jackin-tui/src/components/scrollable_panel.rs:340,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_selected_lines_in_area(
ScrollableList,crates/jackin-tui/src/components/scrollable_panel.rs:366,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ScrollableList<'a> {
new,crates/jackin-tui/src/components/scrollable_panel.rs:380,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn new(items: Vec<ListItem<'a>>) -> Self {
fn,crates/jackin-tui/src/components/scrollable_panel.rs:398,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn selected(mut self, selected: Option<usize>) -> Self {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:404,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn offset(mut self, offset: u16) -> Self {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:410,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn style(mut self, style: Style) -> Self {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:416,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn highlight_style(mut self, style: Style) -> Self {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:422,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn highlight_symbol(mut self, symbol: &'static str) -> Self {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:428,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn highlight_spacing(mut self, spacing: HighlightSpacing) -> Self {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:434,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn scrollbar(mut self, enabled: bool) -> Self {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:440,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn scrollbar_style(mut self, style: ScrollbarStyle) -> Self {"
render_with_block,crates/jackin-tui/src/components/scrollable_panel.rs:481,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_with_block(self, area: Rect, buf: &mut Buffer, block: Block<'a>) {"
render_lines_with_offset_in_area,crates/jackin-tui/src/components/scrollable_panel.rs:518,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_lines_with_offset_in_area(
render_scrollable_block,crates/jackin-tui/src/components/scrollable_panel.rs:611,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_scrollable_block(
render_scrollable_block_at,crates/jackin-tui/src/components/scrollable_panel.rs:631,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_scrollable_block_at(
SelectListAction,crates/jackin-tui/src/components/select_list.rs:24,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum SelectListAction {
SELECT_LIST_KEYMAP,crates/jackin-tui/src/components/select_list.rs:94,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub static SELECT_LIST_KEYMAP: Keymap<SelectListAction> = Keymap::new(SELECT_LIST_BINDINGS);
select_list_hint_spans,crates/jackin-tui/src/components/select_list.rs:99,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn select_list_hint_spans() -> Vec<HintSpan<'static>> {
SelectListState,crates/jackin-tui/src/components/select_list.rs:107,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct SelectListState {
new,crates/jackin-tui/src/components/select_list.rs:117,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn new(items: Vec<String>) -> Self {
with_filter,crates/jackin-tui/src/components/select_list.rs:130,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn with_filter(mut self, filter: impl Into<String>) -> Self {"
fn,crates/jackin-tui/src/components/select_list.rs:150,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn len(&self) -> usize {
fn,crates/jackin-tui/src/components/select_list.rs:155,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn is_empty(&self) -> bool {
max_label_width,crates/jackin-tui/src/components/select_list.rs:160,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn max_label_width(&self) -> u16 {
selected_index,crates/jackin-tui/src/components/select_list.rs:171,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn selected_index(&self) -> Option<usize> {
select_index,crates/jackin-tui/src/components/select_list.rs:176,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn select_index(&mut self, index: usize) {"
fn,crates/jackin-tui/src/components/select_list.rs:187,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn scroll_x(&self) -> u16 {
handle_key,crates/jackin-tui/src/components/select_list.rs:191,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_key(&mut self, key: KeyEvent) -> ModalOutcome<usize> {"
render_select_list,crates/jackin-tui/src/components/select_list.rs:349,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_select_list(
PickerRow,crates/jackin-tui/src/components/select_list.rs:361,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum PickerRow<'a> {
render_picker_list,crates/jackin-tui/src/components/select_list.rs:426,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_picker_list(
render_picker_lines,crates/jackin-tui/src/components/select_list.rs:507,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_picker_lines(
StatusFooterHover,crates/jackin-tui/src/components/status_footer.rs:23,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct StatusFooterHover {
StatusRightGroup,crates/jackin-tui/src/components/status_footer.rs:32,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct StatusRightGroup<'a> {
FooterLeftKind,crates/jackin-tui/src/components/status_footer.rs:39,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum FooterLeftKind {
FooterLeft,crates/jackin-tui/src/components/status_footer.rs:46,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct FooterLeft<'a> {
fn,crates/jackin-tui/src/components/status_footer.rs:53,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn plain(text: &'a str) -> Self {
fn,crates/jackin-tui/src/components/status_footer.rs:61,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn link(text: &'a str) -> Self {
StatusRightChunk,crates/jackin-tui/src/components/status_footer.rs:70,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct StatusRightChunk {
fn,crates/jackin-tui/src/components/status_footer.rs:80,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn contains(&self, col: u16) -> bool {"
StatusRightGroupLayout,crates/jackin-tui/src/components/status_footer.rs:86,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct StatusRightGroupLayout {
start,crates/jackin-tui/src/components/status_footer.rs:94,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn start(&self, fallback: usize) -> usize {"
StatusFooter,crates/jackin-tui/src/components/status_footer.rs:105,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct StatusFooter<'a> {
status_right_group_layout,crates/jackin-tui/src/components/status_footer.rs:113,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn status_right_group_layout(
fn,crates/jackin-tui/src/components/status_footer.rs:181,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new(left: &'a str) -> Self {
fn,crates/jackin-tui/src/components/status_footer.rs:200,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn left(mut self, left: FooterLeft<'a>) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:206,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn right(mut self, right: &'a str) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:212,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn right_debug(mut self, right_debug: Option<&'a str>) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:218,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn right_group(mut self, right: StatusRightGroup<'a>) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:224,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn alpha(mut self, alpha: f32) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:230,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn left_hover(mut self, left_hover: bool) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:236,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn right_hover(mut self, right_hover: bool) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:242,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn usage_hover(mut self, hovered: bool) -> Self {"
fn,crates/jackin-tui/src/components/status_footer.rs:248,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn right_debug_hover(mut self, hovered: bool) -> Self {"
render_status_footer,crates/jackin-tui/src/components/status_footer.rs:346,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_status_footer(
render_status_footer_right_group,crates/jackin-tui/src/components/status_footer.rs:368,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_status_footer_right_group(
compact_usage_status_label,crates/jackin-tui/src/components/status_footer.rs:389,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn compact_usage_status_label(label: &str) -> String {
status_footer_right_chip_rect,crates/jackin-tui/src/components/status_footer.rs:431,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn status_footer_right_chip_rect(
status_footer_debug_chip_rect,crates/jackin-tui/src/components/status_footer.rs:457,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn status_footer_debug_chip_rect(area: Rect, right_debug: &str) -> Option<Rect> {"
StatusPopupState,crates/jackin-tui/src/components/status_popup.rs:18,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct StatusPopupState {
new,crates/jackin-tui/src/components/status_popup.rs:25,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn new(title: impl Into<String>, message: impl Into<String>) -> Self {"
render_status_popup,crates/jackin-tui/src/components/status_popup.rs:33,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_status_popup(frame: &mut Frame<'_>, area: Rect, state: &StatusPopupState) {"
TabStrip,crates/jackin-tui/src/components/tab_strip.rs:22,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct TabStrip<'a> {
fn,crates/jackin-tui/src/components/tab_strip.rs:30,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn new(labels: &'a [(&'a str, bool)]) -> Self {"
fn,crates/jackin-tui/src/components/tab_strip.rs:39,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn focused(mut self, focused: bool) -> Self {"
fn,crates/jackin-tui/src/components/tab_strip.rs:45,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn hovered(mut self, hovered: Option<usize>) -> Self {"
hit_index_at,crates/jackin-tui/src/components/tab_strip.rs:56,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hit_index_at(self, area: Rect, col: u16, row: u16) -> Option<usize> {"
register_hover_targets,crates/jackin-tui/src/components/tab_strip.rs:72,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn register_hover_targets<K, F>("
paragraph,crates/jackin-tui/src/components/tab_strip.rs:99,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn paragraph(self) -> Paragraph<'static> {
cells,crates/jackin-tui/src/components/tab_strip.rs:108,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn cells(self, start_col: u16) -> Vec<TabCell<'a>> {"
tab_label_line,crates/jackin-tui/src/components/tab_strip.rs:120,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn tab_label_line(cells: &[TabCell<'_>], hovered: Option<usize>) -> Line<'static> {"
tab_cell_style,crates/jackin-tui/src/components/tab_strip.rs:133,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn tab_cell_style(active: bool, hovered: bool) -> Style {"
tab_underline_line,crates/jackin-tui/src/components/tab_strip.rs:151,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn tab_underline_line(cells: &[TabCell<'_>], focused: bool) -> Line<'static> {"
TextInputAction,crates/jackin-tui/src/components/text_input.rs:21,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum TextInputAction {
TEXT_INPUT_KEYMAP,crates/jackin-tui/src/components/text_input.rs:103,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub static TEXT_INPUT_KEYMAP: Keymap<TextInputAction> = Keymap::new(TEXT_INPUT_BINDINGS);
text_input_hint_spans,crates/jackin-tui/src/components/text_input.rs:107,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn text_input_hint_spans() -> Vec<HintSpan<'static>> {
TextField,crates/jackin-tui/src/components/text_input.rs:115,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct TextField {
new,crates/jackin-tui/src/components/text_input.rs:131,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn new(initial: impl Into<String>) -> Self {
with_max_chars,crates/jackin-tui/src/components/text_input.rs:144,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn with_max_chars(mut self, n: usize) -> Self {"
with_forbidden,crates/jackin-tui/src/components/text_input.rs:150,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn with_forbidden(mut self, forbidden: Vec<String>) -> Self {"
with_allow_empty,crates/jackin-tui/src/components/text_input.rs:156,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn with_allow_empty(mut self, allow: bool) -> Self {"
value,crates/jackin-tui/src/components/text_input.rs:161,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn value(&self) -> &str {
trimmed_value,crates/jackin-tui/src/components/text_input.rs:165,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn trimmed_value(&self) -> String {
cursor,crates/jackin-tui/src/components/text_input.rs:169,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn cursor(&self) -> usize {
move_cursor_left,crates/jackin-tui/src/components/text_input.rs:173,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn move_cursor_left(&mut self) {
move_cursor_right,crates/jackin-tui/src/components/text_input.rs:184,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn move_cursor_right(&mut self) {
move_cursor_to_start,crates/jackin-tui/src/components/text_input.rs:195,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn move_cursor_to_start(&mut self) {
move_cursor_to_end,crates/jackin-tui/src/components/text_input.rs:199,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn move_cursor_to_end(&mut self) {
len_chars,crates/jackin-tui/src/components/text_input.rs:203,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn len_chars(&self) -> usize {
is_empty,crates/jackin-tui/src/components/text_input.rs:207,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn is_empty(&self) -> bool {
insert_char,crates/jackin-tui/src/components/text_input.rs:211,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn insert_char(&mut self, c: char) {"
backspace,crates/jackin-tui/src/components/text_input.rs:222,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn backspace(&mut self) {
delete_char,crates/jackin-tui/src/components/text_input.rs:234,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn delete_char(&mut self) {
is_duplicate,crates/jackin-tui/src/components/text_input.rs:245,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn is_duplicate(&self) -> bool {
is_valid,crates/jackin-tui/src/components/text_input.rs:250,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn is_valid(&self) -> bool {
BorderStyle,crates/jackin-tui/src/components/text_input.rs:258,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum BorderStyle {
TextInputState,crates/jackin-tui/src/components/text_input.rs:264,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct TextInputState<'a> {
new,crates/jackin-tui/src/components/text_input.rs:283,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn new(label: impl Into<String>, initial: impl Into<String>) -> Self {"
new_allow_empty,crates/jackin-tui/src/components/text_input.rs:288,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn new_allow_empty(label: impl Into<String>, initial: impl Into<String>) -> Self {"
new_with_forbidden,crates/jackin-tui/src/components/text_input.rs:300,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn new_with_forbidden(
value,crates/jackin-tui/src/components/text_input.rs:314,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn value(&self) -> String {
trimmed_value,crates/jackin-tui/src/components/text_input.rs:319,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn trimmed_value(&self) -> String {
is_duplicate,crates/jackin-tui/src/components/text_input.rs:324,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn is_duplicate(&self) -> bool {
is_valid,crates/jackin-tui/src/components/text_input.rs:329,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn is_valid(&self) -> bool {
border_style,crates/jackin-tui/src/components/text_input.rs:334,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn border_style(&self) -> BorderStyle {
handle_key,crates/jackin-tui/src/components/text_input.rs:342,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_key(&mut self, key: KeyEvent) -> ModalOutcome<String> {"
render_text_input,crates/jackin-tui/src/components/text_input.rs:450,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_text_input(frame: &mut ratatui::Frame<'_>, area: Rect, state: &TextInputState<'_>) {"
text_input_prompt_rect,crates/jackin-tui/src/components/text_input.rs:460,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn text_input_prompt_rect(area: Rect) -> Rect {
render_labeled_text_input_dialog,crates/jackin-tui/src/components/text_input.rs:469,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_labeled_text_input_dialog(
Toast,crates/jackin-tui/src/components/toast.rs:18,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct Toast<'a> {
fn,crates/jackin-tui/src/components/toast.rs:26,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new(message: &'a str) -> Self {
fn,crates/jackin-tui/src/components/toast.rs:35,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn right_margin(mut self, margin: u16) -> Self {"
fn,crates/jackin-tui/src/components/toast.rs:41,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn top_margin(mut self, rows: u16) -> Self {"
toast_rect,crates/jackin-tui/src/components/toast.rs:48,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn toast_rect(area: Rect, toast: Toast<'_>) -> Option<Rect> {"
render_toast,crates/jackin-tui/src/components/toast.rs:71,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_toast(frame: &mut Frame<'_>, area: Rect, toast: Toast<'_>) {"
bottom_chrome,crates/jackin-tui/src/components.rs:6,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod bottom_chrome;
brand_header,crates/jackin-tui/src/components.rs:7,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod brand_header;
button_strip,crates/jackin-tui/src/components.rs:8,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod button_strip;
confirm_dialog,crates/jackin-tui/src/components.rs:9,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod confirm_dialog;
container_info,crates/jackin-tui/src/components.rs:10,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod container_info;
dialog_layout,crates/jackin-tui/src/components.rs:11,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod dialog_layout;
diff_view,crates/jackin-tui/src/components.rs:12,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod diff_view;
error_dialog,crates/jackin-tui/src/components.rs:13,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod error_dialog;
filter_input,crates/jackin-tui/src/components.rs:14,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod filter_input;
focus_owner,crates/jackin-tui/src/components.rs:15,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod focus_owner;
hint_bar,crates/jackin-tui/src/components.rs:16,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod hint_bar;
hover_tracker,crates/jackin-tui/src/components.rs:17,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod hover_tracker;
modal_backdrop,crates/jackin-tui/src/components.rs:18,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod modal_backdrop;
modal_lifecycle,crates/jackin-tui/src/components.rs:19,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod modal_lifecycle;
modal_rects,crates/jackin-tui/src/components.rs:20,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod modal_rects;
panel,crates/jackin-tui/src/components.rs:21,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod panel;
save_discard_dialog,crates/jackin-tui/src/components.rs:22,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod save_discard_dialog;
scrollable_panel,crates/jackin-tui/src/components.rs:23,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod scrollable_panel;
select_list,crates/jackin-tui/src/components.rs:24,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod select_list;
status_footer,crates/jackin-tui/src/components.rs:25,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod status_footer;
status_popup,crates/jackin-tui/src/components.rs:26,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub mod status_popup;
